urls_id	urls	urls_title	urls_visit_count	urls_typed_count	urls_last_visit_time	urls_hidden	visits_time	visits_from_visit	visits_duration	visits_transition
11	https://www.linkedin.com/checkpoint/challenge/verify		1	0	13267086268159065	1	13267086268159065	0	0	268435460
12	https://www.linkedin.com/checkpoint/challenge/iframe?vcd=AgH3maSZrZQ_HgAAAXnLQGv1r-Sl1602HhLFNhw9xXO7DsgzUeMTZkAPaxv7YDP5L0FNHb15l2FEBbaSeDhZUFkXlLkt5A&pageInstance=urn%3Ali%3Apage%3Ap_checkpoint_ch_captchaV2Challenge%3BWMIUKClXSTuOrs7ShujeQw%3D%3D&controlId=p_checkpoint_ch_captchaV2Challenge-Submit&ut=3oyQnis5HoFFM1		1	0	13267086268159065	1	13267086268159065	12	0	2684354564
13	https://www.linkedin.com/onboarding/start/?source=homepage-basic_google-one-tap-submit	LinkedIn Onboarding	1	0	13267086270766278	0	13267086270766278	4	0	1073741824
14	https://www.linkedin.com/mwlite/onboarding/start/profile-location/new/?source=homepage-basic_google-one-tap-submit	LinkedIn Onboarding	3	0	13267086294769521	0	13267086294769521	17	0	1895825408
15	https://www.linkedin.com/	Feed | LinkedIn	12	0	13269371233234255	0	13269371233234255	0	0	805306368
16	https://www.linkedin.com/mwlite/onboarding/start/profile-location/new/?source=homepage-basic_google-one-tap-submit#profile-location-typeahead-container	LinkedIn Onboarding	1	0	13267086282377098	0	13267086282377098	17	0	1610612736
17	https://www.linkedin.com/mwlite/onboarding/start/profile-edit/new?source=homepage-basic_google-one-tap-submit	LinkedIn Onboarding	1	0	13267086297212714	0	13267086297212714	19	0	1610612736
18	https://www.linkedin.com/mwlite/onboarding/start/profile-edit/new?source=homepage-basic_google-one-tap-submit#education	LinkedIn Onboarding	4	0	13267086379259391	0	13267086379259391	25	0	1895825408
19	https://www.linkedin.com/mwlite/onboarding/start/profile-edit/new?source=homepage-basic_google-one-tap-submit#profile-edit-typeahead-container	LinkedIn Onboarding	3	0	13267086372217655	0	13267086372217655	25	0	1610612736
20	https://www.linkedin.com/mwlite/onboarding/start/job-seeker-intent/new?source=homepage-basic_google-one-tap-submit%23education	LinkedIn Onboarding	1	0	13267086383339627	0	13267086383339627	27	0	1610612736
21	https://www.linkedin.com/mwlite/onboarding/start/get-the-app/new?source=homepage-basic_google-one-tap-submit%23education	LinkedIn Onboarding: Get the App	1	0	13267086389451176	0	13267086389451176	28	0	1610612736
22	https://www.linkedin.com/feed/	LinkedIn	8	0	13269494730955347	0	13269494730955347	0	0	805306368
23	https://www.linkedin.com/mwlite/in/bot-test-569594213	Profile | LinkedIn	4	0	13268233045748506	0	13268233045748506	414	3396787	805306368
24	https://www.linkedin.com/mwlite/in/bot-test-569594213#search	Profile | LinkedIn	2	0	13267212001673798	0	13267212001673798	67	0	805306368
25	https://www.linkedin.com/mwlite/in/swapnalshahil	Profile | LinkedIn	10	0	13269371245682309	0	13269371245682309	726	0	1610612736
26	https://www.linkedin.com/psettings/profile-visibility	Profile viewing	1	0	13267086435276192	0	13267086435276192	33	0	805306368
27	http://m.cricbuzz.com/	IPL 2021 Cricket Score, Schedule, Latest News, Stats &amp; Videos - Cricbuzz	1	0	13267176449106082	0	13267176449106082	0	0	268435458
28	https://m.cricbuzz.com/	IPL 2021 Cricket Score, Schedule, Latest News, Stats &amp; Videos - Cricbuzz	1	0	13267176449106082	0	13267176449106082	42	0	2684354562
29	https://www.google.com/search?q=linkedin&oq=l&aqs=chrome.0.69i59j69i60l4.758j0j4&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	linkedin - Google Search	1	0	13267176452606506	0	13267176452606506	0	0	838860805
30	https://www.linkedin.com/home/?originalSubdomain=in	LinkedIn	18	1	13269494722966367	0	13269494722966367	0	0	805306370
31	https://www.linkedin.com/home/?originalSubdomain=in#search	Feed | LinkedIn	6	0	13269371243656278	0	13269371243656278	0	0	805306368
32	https://www.linkedin.com/in/swapnalshahil/	Swapnal Shahil | LinkedIn	7	0	13269494754621592	0	13269494754621592	0	0	805306368
33	https://www.linkedin.com/feed/update/urn:li:activity:6802088359524233217/	Post | Feed | LinkedIn	1	0	13267176552889932	0	13267176552889932	0	0	805306368
34	https://www.google.com/search?q=linkedin&oq=&aqs=chrome.0.35i39i362l3...3.-1j0j7&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	linkedin - Google Search	2	0	13267211986044528	0	13267211986044528	0	0	838860805
35	https://www.linkedin.com/mwlite/in/swapnalshahil#search	Profile | LinkedIn	2	0	13267212032005563	0	13267212032005563	71	0	1895825408
36	https://www.linkedin.com/mwlite/in/simran-swaraj-28ab40170	Profile | LinkedIn	1	0	13267212022264478	0	13267212022264478	71	0	1610612736
37	https://www.google.com/search?q=scprelab&oq=scprelab&aqs=chrome..69i57j46i13i175i199j0i13l2.2343j0j7&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	scprelab - Google Search	1	0	13267290234741093	0	13267290234741093	0	0	838860805
38	https://github.com/scorelab	SCoRe Lab · GitHub	1	0	13267290242783708	0	13267290242783708	0	9389651	805306368
39	https://github.com/scorelab/OpenMF	GitHub - scorelab/OpenMF: An Open Source Mobile Forensics Investigation Tool for Android Platform	1	0	13267290252173359	0	13267290252173359	75	2599868556	805306368
40	https://gitter.im/scorelab/OpenMF	scorelab/OpenMF - Gitter	24	1	13269495557555124	0	13269495557555124	0	0	805306376
41	https://m.facebook.com/	Facebook	16	3	13269246872722510	0	13269246872722510	0	0	805306368
42	https://www.google.com/search?q=linkedin&oq=&aqs=chrome.0.35i39i362l4j69i59i450...4.-1j0j7&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	linkedin - Google Search	2	0	13267556228464299	0	13267556228464299	112	0	2684354565
43	https://www.linkedin.com/notifications/	Notifications | LinkedIn	2	0	13268233060196800	0	13268233060196800	417	4625098	805306376
44	chrome-error://chromewebdata/	linkedin - Google Search	1	0	13267556228464299	0	13267556228464299	0	0	268435461
45	http://firmware.mobi/	firmware.mobi	1	1	13267629141954445	0	13267629141954445	0	0	268435457
46	https://firmware.mobi/	firmware.mobi	1	0	13267629141954445	0	13267629141954445	0	0	2684354561
47	https://www.google.com/search?q=com.android.providers.telephony+not+in+samsung&oq=com.android.providers.telephony+not+in+sa&aqs=chrome.1.69i57j33i160l3.52671j0j7&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	com.android.providers.telephony not in samsung - Google Search	2	0	13267632220896640	0	13267632220896640	0	0	855638021
48	https://android.stackexchange.com/questions/16915/where-on-the-file-system-are-sms-messages-stored	Where on the file system are SMS messages stored? - Android Enthusiasts Stack Exchange	1	0	13267631110024428	0	13267631110024428	0	0	805306368
49	https://www.google.com/search?q=samsung+on7+sms+storage&oq=samsung+on7+sms+sto&aqs=chrome.3.69i57j33i22i29i30l4.14868j0j9&client=ms-android-samsung&sourceid=chrome-mobile&ie=UTF-8	samsung on7 sms storage - Google Search	2	0	13267632263477340	0	13267632263477340	0	0	855638021
